urban.test.score,participant.ID,age,gender,VR.experience,Example [A],Example [B],1 [A],1 [B],2 [A],2 [B],3 [A],3 [B],4 [A],4 [B],5 [A],5 [B],6 [A],6 [B],7 [A],7 [B],8 [A],8 [B],9 [A],9 [B],10 [A],10 [B],time.of.questionnaire,comments.questionnaire,time.of.unity.flight,time.of.unity.FOV.shark,time.of.unity.FOV.cat,time.of.unity.FOV.car,time.of.unity.FOV.rhinoceros,time.of.unity.FOV.sheep,time.of.unity.FOV.tree,comments.unity.time
15,120,24,Male,I used VR <10 times in my life,1,3,4,3,1,4,4,2,4,1,1,2,3,4,4,3,1,4,3,1,2,3,00:14:37.933,NA,00:08:41.59,00:02:05.51,00:02:21.51,00:01:45.89,00:01:20.24,00:01:12.30,00:01:20.57,NA
13,121,24,Female,I never used VR,1,3,4,3,1,4,4,2,4,1,1,4,1,2,4,1,1,4,3,1,1,3,00:15:12.050,NA,00:07:44.20,00:02:15.20,00:01:47.75,00:00:37.84,00:01:10.30,00:00:41.25,00:01:33.12,NA
18,122,21,Male,I used VR <10 times in my life,1,3,4,3,1,2,4,2,4,3,1,2,3,4,2,3,1,4,3,1,1,3,00:23:42.026,NA,00:06:17.50,00:02:05.48,00:01:51.35,00:00:47.77,00:01:04.31,00:00:41.98,00:01:37.25,NA
13,123,20,Female,I used VR <10 times in my life,1,3,4,3,4,2,4,2,4,3,3,4,3,4,4,3,4,2,3,1,4,3,00:16:46.176,NA,00:05:41.27,00:01:46.77,00:01:38.10,00:01:01.08,00:00:47.67,00:00:57.44,00:00:48.34,NA
11,124,26,Female,I used VR <10 times in my life,1,3,4,3,3,2,3,4,3,1,3,4,2,4,2,1,1,4,3,2,4,3,00:11:43.678,NA,00:06:43.75,00:02:28.76,00:02:12.05,00:00:47.72,00:00:57.79,00:00:59.75,00:01:11.83,NA
10,125,24,Female,I used VR <10 times in my life,1,3,4,3,1,2,4,1,2,1,1,2,1,2,4,1,1,2,3,2,1,2,00:25:05.897,NA,00:06:12.71,00:02:05.97,00:01:33.74,00:00:51.72,00:01:05.34,00:00:40.93,00:01:22.27,NA
13,126,19,Male,I used VR <10 times in my life,NA,NA,4,3,1,4,3,4,4,3,3,4,3,4,4,1,1,3,3,1,4,3,00:18:51.929,NA,00:09:25.96,00:02:01.94,00:02:22.37,00:01:17.41,00:01:29.18,00:01:03.38,00:01:22.77,NA
12,127,28,Female,I never used VR,1,3,4,2,1,4,4,3,4,2,1,2,2,4,4,3,1,3,3,1,4,3,00:26:10.055,NA,00:09:29.19,00:03:47.98,00:02:30.32,00:01:22.66,00:02:19.77,00:00:36.46,00:01:41.60,NA
16,128,23,Male,I use VR regularly,1,3,4,3,1,2,4,3,4,3,1,4,3,4,2,3,1,4,3,1,4,2,00:10:42.923,NA,00:08:45.49,00:02:20.29,00:02:23.97,00:00:44.68,00:01:31.43,00:01:10.28,00:02:00.37,NA
9,129,18,Female,I never used VR,1,3,4,2,1,2,1,2,3,4,1,4,3,1,4,1,1,4,1,3,3,2,00:08:16.918,Only done 2D sketching due to motion sickness,00:18:22.28,00:09:31.61,00:02:31.42,00:01:43.64,00:01:45.91,00:01:03.46,00:01:18.55,Only done 2D sketching due to motion sickness
14,130,31,Female,I never used VR,1,3,4,3,1,2,1,2,4,1,1,2,3,1,4,1,1,4,3,1,2,1,00:17:08.901,NA,00:08:50.07,00:01:39.68,00:01:39.17,00:01:32.31,00:01:30.19,00:00:44.09,00:01:29.39,NA
16,131,20,Female,I never used VR,1,4,4,3,3,2,4,2,4,3,1,3,3,4,4,1,1,4,3,1,1,3,00:23:19.915,Only done 2D sketching due to motion sickness,NA,NA,NA,NA,NA,NA,NA,NA
7,132,23,Male,I used VR <10 times in my life,1,4,2,3,1,3,2,3,1,2,3,1,3,4,4,3,1,3,3,2,1,3,00:07:50.414,NA,00:11:53.71,00:03:05.46,00:02:28.55,00:01:20.91,00:02:09.66,00:01:33.12,00:03:09.20,NA
19,133,19,Male,I used VR 10 times or more in my life but don't use it regularly,1,3,4,3,1,2,4,2,4,3,1,2,3,4,2,1,1,4,3,1,4,1,00:07:57.511,NA,00:06:00.57,00:01:34.37,00:01:13.97,00:01:06.98,00:00:59.22,00:00:43.82,00:01:05.49,NA
18,134,34,Male,I never used VR,4,3,4,3,1,2,4,2,4,3,1,2,3,4,2,1,1,4,1,2,4,3,00:10:54.405,NA,00:05:12.26,00:01:36.43,00:01:08.68,00:01:12.04,00:00:58.40,00:00:36.30,00:01:09.83,NA
11,135,45,Male,I never used VR,1,3,4,3,3,4,4,1,4,2,3,2,3,4,2,3,1,2,2,1,1,3,00:29:14.271,NA,00:05:39.85,00:01:50.71,00:01:16.25,00:00:58.23,00:00:55.01,00:00:45.78,00:01:00.33,NA
6,136,43,Female,I never used VR,2,4,2,1,1,2,1,4,3,2,4,1,3,1,4,1,1,4,4,2,1,2,00:16:28.507,NA,00:06:59.35,00:02:09.60,00:01:11.31,00:00:41.53,00:01:08.80,00:00:50.18,00:01:22.73,NA
14,137,18,Female,I used VR <10 times in my life,1,3,4,3,1,2,4,2,4,3,3,2,3,4,4,3,1,4,1,4,1,3,00:07:21.191,NA,00:05:02.74,00:02:06.88,00:00:45.96,00:00:15.09,00:00:55.19,00:00:31.77,00:01:12.88,NA
13,138,28,Female,I used VR <10 times in my life,1,3,4,3,3,4,1,2,4,1,1,2,3,4,4,1,1,4,4,1,1,3,00:10:43.609,NA,00:09:56.61,00:02:59.21,00:03:02.87,00:01:20.93,00:01:40.07,00:01:09.12,00:01:44.84,NA
16,139,22,Female,I never used VR,1,3,4,2,1,4,4,2,4,3,1,2,3,4,2,1,1,2,3,1,1,3,00:09:58.903,NA,00:07:35.68,00:02:35.44,00:01:43.20,00:01:10.27,00:01:14.88,00:00:44.87,00:01:52.99,NA
12,140,23,Female,I never used VR,1,3,4,3,1,2,4,1,4,2,1,4,3,2,2,3,1,2,3,2,4,2,00:13:07.077,NA,00:07:19.78,00:02:27.59,00:01:48.58,00:01:20.33,00:01:34.80,00:00:36.37,00:01:25.92,NA
17,141,21,Male,I never used VR,1,3,4,3,1,2,4,2,4,3,1,2,3,4,4,1,1,4,3,1,3,1,00:34:33.034,NA,00:05:10.15,00:02:00.79,00:01:12.51,00:00:36.73,00:00:32.00,00:00:35.86,00:01:00.74,NA
